t,v,r,s
2022-05-15T22:45:00.256-07:00,12249,0,0
2022-05-15T23:00:00.333-07:00,12250,0,0
2022-05-15T23:15:00.239-07:00,12250,0,0
2022-05-15T23:30:00.234-07:00,12251,0,0
2022-05-15T23:45:00.238-07:00,12251,0,0
2022-05-16T00:00:00.217-07:00,12252,0,0
2022-05-16T00:15:00.269-07:00,12253,0,0
2022-05-16T00:30:00.245-07:00,12253,0,0
2022-05-16T00:45:00.253-07:00,12254,0,0
2022-05-16T01:00:00.247-07:00,12254,0,0
2022-05-16T01:15:00.314-07:00,12255,0,0
2022-05-16T01:30:00.228-07:00,12255,0,0
2022-05-16T01:45:00.243-07:00,12256,0,0
2022-05-16T02:00:00.254-07:00,12257,0,0
2022-05-16T02:15:00.263-07:00,12257,0,0
2022-05-16T02:30:00.248-07:00,12258,0,0
2022-05-16T02:45:00.232-07:00,12258,0,0
2022-05-16T03:00:00.255-07:00,12259,0,0
2022-05-16T03:15:00.269-07:00,12259,0,0
2022-05-16T03:30:00.261-07:00,12260,0,0
2022-05-16T03:45:00.289-07:00,12261,0,0
2022-05-16T04:00:00.327-07:00,12261,0,0
2022-05-16T04:15:02.688-07:00,12262,0,0
2022-05-16T04:30:00.251-07:00,12262,0,0
2022-05-16T04:45:00.254-07:00,12263,0,0
2022-05-16T05:00:00.323-07:00,12264,0,0
2022-05-16T05:15:00.231-07:00,12264,0,0
2022-05-16T05:30:00.248-07:00,12265,0,0
2022-05-16T05:45:00.232-07:00,12265,0,0
2022-05-16T06:00:00.254-07:00,12266,0,0
2022-05-16T06:15:00.233-07:00,12266,0,0
2022-05-16T06:30:00.239-07:00,12267,0,0
2022-05-16T06:45:00.257-07:00,12268,0,0
2022-05-16T07:00:00.248-07:00,12268,0,0
2022-05-16T07:15:00.272-07:00,12269,0,0
2022-05-16T07:30:00.240-07:00,12269,0,0
2022-05-16T07:45:01.198-07:00,12270,0,0
2022-05-16T08:00:00.254-07:00,12270,0,0
2022-05-16T08:15:00.266-07:00,12271,0,0
2022-05-16T08:30:00.263-07:00,12272,0,0
2022-05-16T08:45:00.247-07:00,12272,0,0
2022-05-16T09:00:00.227-07:00,12273,0,0
2022-05-16T09:15:00.240-07:00,12273,0,0
2022-05-16T09:30:00.220-07:00,12274,0,0
2022-05-16T09:45:00.302-07:00,12274,0,0
2022-05-16T10:00:00.243-07:00,12275,0,0
2022-05-16T10:15:00.240-07:00,12276,0,0
2022-05-16T10:30:00.241-07:00,12276,0,0
2022-05-16T10:45:00.266-07:00,12277,0,0
2022-05-16T11:00:00.220-07:00,12277,0,0
2022-05-16T11:15:01.737-07:00,12278,0,0
2022-05-16T11:30:00.295-07:00,12278,0,0
2022-05-16T11:45:00.233-07:00,12279,0,0
2022-05-16T12:00:00.250-07:00,12280,0,0
2022-05-16T12:15:00.274-07:00,12280,0,0
2022-05-16T12:30:00.243-07:00,12281,0,0
2022-05-16T12:45:00.305-07:00,12281,0,0
2022-05-16T13:00:00.240-07:00,12282,0,0
2022-05-16T13:15:00.242-07:00,12282,0,0
2022-05-16T13:30:00.553-07:00,12283,0,0
2022-05-16T13:45:00.265-07:00,12284,0,0
2022-05-16T14:00:00.229-07:00,12284,0,0
2022-05-16T14:15:00.511-07:00,12285,0,0
2022-05-16T14:30:00.265-07:00,12285,0,0
2022-05-16T14:45:00.261-07:00,12286,0,0
2022-05-16T15:00:00.257-07:00,12286,0,0
2022-05-16T15:15:00.310-07:00,12287,0,0
2022-05-16T15:30:00.272-07:00,12288,0,0
2022-05-16T15:45:00.236-07:00,12304,0,0
2022-05-16T16:00:00.305-07:00,12305,0,0
2022-05-16T16:15:00.247-07:00,12306,0,0
2022-05-16T16:30:00.241-07:00,12306,0,0
2022-05-16T16:45:00.266-07:00,12307,0,0
2022-05-16T17:00:00.243-07:00,12307,0,0
2022-05-16T17:15:00.228-07:00,12308,0,0
2022-05-16T17:30:00.472-07:00,12309,0,0
2022-05-16T17:45:00.265-07:00,12309,0,0
2022-05-16T18:00:00.261-07:00,12310,0,0
2022-05-16T18:15:00.235-07:00,12310,0,0
2022-05-16T18:30:00.472-07:00,12311,0,0
2022-05-16T18:45:00.291-07:00,12311,0,0
2022-05-16T19:00:00.644-07:00,12312,0,0
2022-05-16T19:15:00.225-07:00,12313,0,0
2022-05-16T19:30:00.332-07:00,12313,0,0
2022-05-16T19:45:00.266-07:00,12314,0,0
2022-05-16T20:00:00.251-07:00,12314,0,0
2022-05-16T20:15:00.581-07:00,12315,0,0
2022-05-16T20:30:00.231-07:00,12315,0,0
2022-05-16T20:45:00.241-07:00,12316,0,0
2022-05-16T21:00:00.260-07:00,12317,0,0
2022-05-16T21:15:00.222-07:00,12317,0,0
2022-05-16T21:30:00.237-07:00,12318,0,0
2022-05-16T21:45:00.343-07:00,12318,0,0
2022-05-16T22:00:00.244-07:00,12319,0,0
2022-05-16T22:15:00.340-07:00,12320,0,0
2022-05-16T22:30:00.254-07:00,12320,0,0
2022-05-16T22:45:00.238-07:00,12321,0,0
2022-05-16T23:00:00.295-07:00,12321,0,0
2022-05-16T23:15:00.369-07:00,12322,0,0
2022-05-16T23:30:00.244-07:00,12322,0,0
2022-05-16T23:45:00.262-07:00,12323,0,0
2022-05-17T00:00:00.291-07:00,12324,0,0
2022-05-17T00:15:00.245-07:00,12324,0,0
2022-05-17T00:30:00.242-07:00,12325,0,0
2022-05-17T00:45:00.677-07:00,12325,0,0
2022-05-17T01:00:00.255-07:00,12326,0,0
2022-05-17T01:15:00.710-07:00,12326,0,0
2022-05-17T01:30:00.261-07:00,12327,0,0
2022-05-17T01:45:00.263-07:00,12328,0,0
2022-05-17T02:00:00.255-07:00,12328,0,0
2022-05-17T02:15:00.256-07:00,12329,0,0
2022-05-17T02:30:00.242-07:00,12329,0,0
2022-05-17T02:45:00.236-07:00,12330,0,0
2022-05-17T03:00:00.274-07:00,12330,0,0
2022-05-17T03:15:00.248-07:00,12331,0,0
2022-05-17T03:30:00.323-07:00,12332,0,0
2022-05-17T03:45:00.264-07:00,12332,0,0
2022-05-17T04:00:00.246-07:00,12333,0,0
2022-05-17T04:15:00.321-07:00,12333,0,0
2022-05-17T04:30:00.264-07:00,12334,0,0
2022-05-17T04:45:00.241-07:00,12335,0,0
2022-05-17T05:00:00.250-07:00,12335,0,0
2022-05-17T05:15:00.259-07:00,12336,0,0
2022-05-17T05:30:01.667-07:00,12336,0,0
